Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD45,West Vancouver,0,0,0,0,0,0,3,1,0,1,1,0,2,7.1875,3,16.125,52.625,6,14,1,9,116.125,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2.375,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,7,256.4375,201
SD46,Sunshine Coast,0,0,0,0,0,0,0,1,0,0,6.1563,1,2,17,3,0,16,1,2,6,6,8.375,4,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,3,0,0.5,2,2,1,2.125,1,1,0,0,0,0,0,0,1.5,0,6,100.1563,118.625
SD47,Powell River,0,0,0,0,0,0,0,1.125,0,0,2.125,6,6,5,0,0,5,0,0,3,5,2,0,6.125,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,3,0.75,3.25,2,0,36.5,7.875,3,0,0,0,2.125,0,0,0,0,3,0,0,0,11,121.875,79.25
SD48,Sea to Sky,0,0,0,0,2,0,1,3,1,0,3.1875,0,4,7,3,3,9,0,6,2,8,10.125,19,1.25,0,0,1,0,0,0,0,0,1,0,1,2.0625,3,1,0,0,1,1,0,3,9.0625,0,1,2,0,0,3,0,0,0.125,0,0,0,2.5,0,19,133.3125,149.25
SD49,Central Coast,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.125,12
SD50,Haida Gwaii - Queen Charlotte,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,33.625
SD51,Boundary,0,0,1,0,0,4.875,0,16,2,0,1,0,4,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,1,3,0,0,0,0,2,2,0,56.875,37.375
SD52,Prince Rupert,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,1,0,0,0,0,0,0,4,0,0,0,2,8,0,0,0,1,0,1,0,2,5.75,2,0,0,0,0,0,0,0,1,0,15.125,0,0,1.125,1,0,10,0,66,87.125
SD53,Okanagan Similkameen,3,1,5.875,2,0,0,3,11.125,0,0,2,6,1,14,3,0.75,6.375,1,8.375,3.125,8,5.1875,0,0,0,0,0,0,1,0,0,1,4.125,3,0,2,0,2.125,0,0,25.875,2,3,0,1.0625,0,0,2,15,1,0,0,3,1,0,0,0,1,0,1,154,120.25
SD54,Bulkley Valley,4,0,0,0,0,0,4,1,1,1,2.0625,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10.75,0,0,3,0,0,0,0,1,1,0,0,0,0,6,0,0,1,0,0,14,0,0,0,3,6,0,2,63.8125,97.125
SD57,Prince George,4,0,2,0,3,1.875,3.125,23.125,16,25.5,13.0625,12.5,8,15.125,1,7.25,8,0,3.75,2,6,2.5625,0,3.25,4,2,0,2.375,1,15,2,11,0,0,15.125,23.0625,3,0,2,0,9.75,7,1,3,0,3,20.125,0,2,2,2,2,25.6,5,0,0,1,68.875,0,5,399.0375,410.625
SD58,Nicola - Similkameen,1.25,0.75,5.625,2,1,1,9,17.375,3,5.125,9,8.625,13.875,3.5,0.875,1.5,11,3,0,0,5.125,2.3125,2,0,1,3.0625,0,0,0,0,4,0,3,0,1,2,2,0,0,0,15.875,1.125,0,1,0,0,23.5,7,0,0,0,0,3,10.4063,0,2,0,0,0,4.5,191.4063,109
