Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD36,Surrey,6,2,5,2,1,1,11,20.25,6,3,53,105.375,352.75,0,319.25,44.125,120.25,33.125,69.25,40,87,30.375,7,3,1,5,0,0,1,6,6,2,16.375,13.5,2,7,15,13,3,0,8.875,26.75,1,1,10.125,2.875,31,8,25,12,11,3,9,4,0,2,0,18,1,14
SD37,Delta,0,0,1,0,1,1,1,4,1,2,7.25,14,33.25,216.375,0,24,27.875,10,10.875,10,9,15.125,0.875,2,2.5,4,0,0,1,1,2,0,1,2,1,0,6.5,1.875,2,0,1,2,4,0,5,1,3,0,14,1,0,0,4,0,0,0,0,17,0,3
SD38,Richmond,0,0,1,0,1,0,4,5.875,4,0,18.125,5.8125,25,149.375,69.375,0,135.75,6.875,27,10.75,18.875,10,10,3,1,0,0,0,0,0,1.125,0,0,4.125,0,0,3.75,5.875,7.75,2,3,2,3,1,2.875,1,19.5,0,1,1,0,1,0,0,0,0,0,8.25,0,1
SD39,Vancouver,0,0,7.125,0,0,0,3,14.5,3,0,11.375,10,25.25,222.1875,65.3125,126.8125,0,57,259.25,27,128.875,75.75,37.25,15,2,18,1.125,2,1,5.875,7.875,1,4,7,1,8.125,37.1875,0,5.75,21.125,2,10,1,2,38.5,5,8.375,2,9,1,9,0,3.875,1,3,0,0,59.5,4,15
SD40,New Westminster,0,0,4.625,2,0,0,1,4.125,0,0,1,7,22,60,15,9,33.6875,0,95.375,9,66.5,8,21,0,1,3,0,1,2,2,0,0,1,1,0,0,2,0.75,7.5,7,4,0,0,1,3,2,2,0,6,0,1,0,2,0,0,0,0,7,0,1
SD41,Burnaby,5,4,9,0,0.875,0,4,8.875,3.875,1,14,9,34.625,203,36.75,26.875,185.25,96.875,0,27.5,241,32.875,28,3,1,4,0,0,0,4,0,1,5,5.75,0,7,7.875,5,4.625,0,5.875,6,1,2,4.25,2.875,2,0,3,2,2.125,0,4.625,0,0,0,0,6.125,0,5
SD42,Maple Ridge - Pitt Meadows,0,0,2.375,0,0,4,6,10,4,0,29.5,19,18,23.75,12,1,14,10,12.875,0,89.125,6,4,1,0,5.75,0,0,0,0,2,1,1,1,0,5,2,5,2.75,0,0,1,4,1,4,1,6,0,42.25,6,3,0,3,10,0,0,0,7.875,0,7
SD43,Coquitlam,3,0,11,0,1,0,10,8,2,1,23.625,17.125,46,78.25,10,14,44,18,91.625,139.625,0,24,10,3,0,6.75,0,0,1,0,5,0,8,4.125,1,3,6,1,3.75,2,6,10.875,1,1,18.25,3,6.625,2.25,20.375,2,1,0,1,3,0,0,0,12.75,0,8
SD44,North Vancouver,0,0,1.875,0,0,2,0,9.9375,0,0,3.0625,3,6,20,5.75,2,38.8125,15,24.0625,7.75,22.8125,0,110.9375,6,2,13.5625,0,0,1,2,1.9375,0,5.0625,1,1,1,4,0,5.375,5,1,4,2,5,3.0625,2,6.5625,2,1,0,3.75,0,0,0,0,0,0,6.875,0,2
SD45,West Vancouver,0,0,0.875,0,0,2,0,1.125,1,0,1.5625,1,3,14,1,4.0625,34.75,4,4,2,4.75,72,0,1,1,11.125,0,0,0,0,1,0,0.75,0,0,0,2,0,2.125,4,2,2,0,0,1,0,1.5,0,0,0,0,0,0,1,0,0,0,3.25,0,5
SD46,Sunshine Coast,0,1,0,0,0,0,0,2,0,0,3,1,2,8,5,0,10,1,7.375,3,1,6,5.5,0,1,0,0,1,0,0,4,0,0,0,0,0,3,3.25,0.875,0,0,2,0,2,7.5,1.125,2,0,2,2,1,0,1,2,0,1,0,1.75,0,2
SD47,Powell River,0,0,1,0,0,0,3,1,1,0,1,4,0,3,1,0,1,1,0,0,3,0,0,3.125,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,4,4,0,27.5,4,1.125,0,0,0,0,0,0,2,0,2,0,0,0,1
SD48,Sea to Sky,0,0,1,0,1,2,1,4.125,0,1,5.125,1,2,10.125,0,4,19.5,0,5.125,2,2,3.25,12.125,2.125,0,0,0,0,2,0,2.625,0,0,7.125,2,1,3.125,3,2,0,1,1,2,1,10.875,2,7,1,1,0,0,0,4,4,0,0,0,2,0,2
SD49,Central Coast,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,2,0,0,0,0
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.125,0,0,3,0,0,0,0,0,2,0,0,2,1,0,1,4.9375,2,0,1,0,0,0,0,0,0,2,0,0.9375,1,0
SD51,Boundary,1,0,3,3,0,5,3,13,0,1,1,0.875,0,2,3,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.875,0,0,0,2,1,2,0,0,0,0,2.625,0,0,0,0,0,0,0,0,0,0,5.3125,0,0
SD52,Prince Rupert,4,0,0,0,0,0,1,0,0,0,5,7.875,2,6,0,0,4,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,5,2,0,0,4,0,2,0,1,3,1,1,2,0,5,0,0,0,0,0,17.875,0,0,0,0,1,14,0
SD53,Okanagan Similkameen,0,1,1,1,0,1,5,16,1,3,4,1,2,4.25,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,6,6,0,0,0.375,0,0,0,53,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1
SD54,Bulkley Valley,0,2,1,0,0,0,6,5,4,4,0,3,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,1,0,3,2,0,37,0,3,2,2.125,1,4,0,1,0,0,0,1,0,1,0,1,0,0,0,14,0,0,0,2,20,0,0
