DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
63,2015,6841.1,111.9,-67.3,45,6911
63,2016,6911.1,106.3,-86.3,20,6909
63,2017,6908.8,123.5,-73.5,50,7004
63,2018,7003.8,92.6,-64.8,28,7082
64,2013,1690.3,48.5,-20.8,28,1684
64,2014,1684.3,39.5,-36.8,3,1661
64,2015,1660.6,32,-26,6,1707
64,2016,1707.1,32.3,-20.3,12,1719
64,2017,1719,44.1,-17,27,1697
64,2018,1697.1,28.3,-21.4,7,1736
67,2013,5970.4,59.4,-27.5,32,5765
67,2014,5765.3,55.6,-67.8,-12,5593
67,2015,5592.5,75.5,-36,40,5671
67,2016,5671.4,75.7,-48.5,27,5691
67,2017,5690.6,88.6,-31.7,57,5749
67,2018,5749.4,91,-37.9,53,5825
68,2013,13234.7,132.4,-95.8,37,13174
68,2014,13173.9,94.4,-158.5,-64,12866
68,2015,12866.3,161.6,-115.1,47,13051
68,2016,13050.8,103.1,-118.5,-15,13415
68,2017,13415.1,110.5,-98.4,12,13719
68,2018,13719.3,135.3,-119.1,16,14021
69,2013,4090.1,51.1,-33.3,18,4029
69,2014,4029.3,44.6,-75.5,-31,3876
69,2015,3876.2,44.3,-41.9,2,3950
69,2016,3950.1,39.4,-26.9,13,4011
69,2017,4011,32.4,-31,1,4040
69,2018,4040.1,41.5,-36.1,5,4096
70,2013,3799.6,67.6,-37,31,3639
70,2014,3639.1,45.7,-48.1,-2,3538
70,2015,3538.1,95.4,-22.1,73,3640
70,2016,3640,66.5,-41.6,25,3762
70,2017,3761.8,74.4,-28,46,3745
70,2018,3744.8,65.6,-28.1,38,3734
71,2013,7903.4,64.1,-55.6,9,7763
71,2014,7763.5,47.6,-87.1,-40,7479
71,2015,7479.4,55.6,-58.3,-3,7376
71,2016,7375.6,129.4,-64.4,65,7805
71,2017,7805.3,124,-85.3,39,8222
71,2018,8222.2,98.4,-87.9,11,8277
72,2013,5191.4,49.1,-23.6,26,5147
72,2014,5147.3,64.3,-36.9,27,5162
72,2015,5162.3,41.8,-32.5,9,5225
72,2016,5224.9,38.8,-44.1,-5,5344
72,2017,5343.6,26.8,-31.1,-4,5401
72,2018,5401.4,35.1,-40.5,-5,5463
73,2013,14031.1,125.6,-83.8,42,13938
73,2014,13937.5,116.8,-111.4,5,13981
73,2015,13981.3,168.6,-87.5,81,13938
73,2016,13937.9,128.1,-87.4,41,14100
73,2017,14100.2,108.7,-121.8,-13,14358
73,2018,14358.3,127.1,-109.1,18,14590
74,2013,1192.5,17.9,-7,11,1144
74,2014,1144,13.6,-29,-15,1096
74,2015,1096.4,27.3,-7,20,1111
